"","Species","Subspecies","TrueName","ShortName6","ShortName8","Sensitivity","Strata","Habitat","SimpleHab","SimpleStrata"
"11","Threnetes ruckeri",NA,"Threnetes ruckeri","THRRUC","THRERUCK","H","U","F1,F15","F","U"
"12","Phaethornis anthophilus",NA,"Phaethornis anthophilus","PHAANT","PHAEANTH","L","U","F1,F15","F","U"
"13","Phaethornis augusti",NA,"Phaethornis augusti","PHAAUG","PHAEAUGU","M","U","F4,F1,F7,F15","F","U"
"14","Phaethornis bourcieri",NA,"Phaethornis bourcieri","PHABOU","PHAEBOUR","H","U/M","F1,F4","F","U"
"15","Phaethornis eurynome",NA,"Phaethornis eurynome","PHAEUR","PHAEEURY","M","U","F4,F1","F","U"
"16","Phaethornis gounellei",NA,"Anopetia gounellei","PHAGOU","PHAEGOUN","?","U?","F7,F4","F","U"
"17","Phaethornis griseogularis","griseogularis","Phaethornis griseogularis","PHAGRI","PHAEGRIS","M","U","F4,F15","F","U"
"18","Phaethornis griseogularis","porcullae","Phaethornis griseogularis","PHAGRI","PHAEGRIS","M","U","F7,F4","F","U"
"19","Phaethornis guy",NA,"Phaethornis guy","PHAGUY","PHAEGUYI","M","U","F4","F","U"
"20","Phaethornis hispidus",NA,"Phaethornis hispidus","PHAHIS","PHAEHISP","M","U","F2,F3,F8","F","U"
"21","Phaethornis idaliae",NA,"Phaethornis idaliae","PHAIDA","PHAEIDAL","M","U","F1","F","U"
"22","Phaethornis koepckeae",NA,"Phaethornis koepckeae","PHAKOE","PHAEKOEP","H","U","F1,F4","F","U"
"23","Phaethornis longuemareus",NA,"Phaethornis longuemareus","PHALON","PHAELONG","M","U","F1,F15","F","U"
"24","Phaethornis malaris",NA,"Phaethornis malaris","PHAMAL","PHAEMALA","H","U","F1","F","U"
"25","Phaethornis nattereri",NA,"Phaethornis nattereri","PHANAT","PHAENATT","M","U","F7","F","U"
"26","Phaethornis philippii",NA,"Phaethornis philippii","PHAPHI","PHAEPHIL","H","U","F1","F","U"
"27","Phaethornis pretrei",NA,"Phaethornis pretrei","PHAPRE","PHAEPRET","L","U","F7,F1,F15","F","U"
"28","Phaethornis ruber",NA,"Phaethornis ruber","PHARUB","PHAERUBE","M","U","F1,F2,F15","F","U"
"29","Phaethornis squalidus",NA,"Phaethornis squalidus","PHASQU","PHAESQUA","M","U","F1,F4,F8,F15","F","U"
"30","Phaethornis stuarti",NA,"Phaethornis stuarti","PHASTU","PHAESTUA","H","U","F1","F","U"
"31","Phaethornis subochraceus",NA,"Phaethornis subochraceus","PHASUB","PHAESUBO","M","U","F7","F","U"
"32","Phaethornis superciliosus","margarattae","Phaethornis superciliosus","PHASUP","PHAESUPE","H","U","F1","F","U"
"33","Phaethornis superciliosus","superciliosus","Phaethornis superciliosus","PHASUP","PHAESUPE","H","U","F1,F4,F7","F","U"
"34","Phaethornis syrmatophorus",NA,"Phaethornis syrmatophorus","PHASYR","PHAESYRM","M","U","F4","F","U"
"35","Phaethornis yaruqui",NA,"Phaethornis yaruqui","PHAYAR","PHAEYARU","H","U","F1,F4","F","U"
"36","Eutoxeres aquila",NA,"Eutoxeres aquila","EUTAQU","EUTOAQUI","M","U","F4,F1","F","U"
"37","Eutoxeres condamini",NA,"Eutoxeres condamini","EUTCON","EUTOCOND","M","U","F4,F1","F","U"
"38","Phaeochroa cuvierii",NA,"Phaeochroa cuvierii","PHACUV","PHAECUVI","L","M/C","F15,N14,F1E","N","C"
"39","Campylopterus curvipennis","curvipennis","Campylopterus curvipennis","CAMCUR","CAMPCURV","M","U/M","F1,F15","F","U"
"40","Campylopterus curvipennis","excellens","Campylopterus curvipennis","CAMCUR","CAMPCURV","M","U/M","F1,F4","F","U"
"41","Campylopterus duidae",NA,"Campylopterus duidae","CAMDUI","CAMPDUID","L","U/M","F4,F5,N3","N","U"
"42","Campylopterus ensipennis",NA,"Campylopterus ensipennis","CAMENS","CAMPENSI","M","U/M","F4","F","U"
"43","Campylopterus falcatus",NA,"Campylopterus falcatus","CAMFAL","CAMPFALC","M","U/M","F4,F15","F","U"
"44","Campylopterus hemileucurus",NA,"Campylopterus hemileucurus","CAMHEM","CAMPHEMI","M","U/M","F4","F","U"
"45","Campylopterus hyperythrus",NA,"Campylopterus hyperythrus","CAMHYP","CAMPHYPE","L","U/M","F4","F","U"
"46","Campylopterus largipennis",NA,"Campylopterus largipennis","CAMLAR","CAMPLARG","M","U/M","F3,F1,F15","F","U"
"47","Campylopterus phainopeplus",NA,"Campylopterus phainopeplus","CAMPHA","CAMPPHAI","?","U/M","F4,F15","F","U"
"48","Campylopterus rufus",NA,"Campylopterus rufus","CAMRUF","CAMPRUFU","M","U/M","F4,F15","F","U"
"49","Campylopterus villaviscensio",NA,"Campylopterus villaviscensio","CAMVIL","CAMPVILL","M","U/M","F4,F5","F","U"
"50","Eupetomena macroura",NA,"Eupetomena macroura","EUPMAC","EUPEMACR","L","U/C","N4,N14,F7","N","C"
"51","Florisuga mellivora",NA,"Florisuga mellivora","FLOMEL","FLORMELL","L","M/C","F1,F15","F","C"
"52","Melanotrochilus fuscus",NA,"Trochilus scitulus","MELFUS","MELAFUSC","M","M/C","F1,F4,F15","F","C"
"53","Colibri coruscans",NA,"Colibri coruscans","COLCOR","COLICORU","L","U/C","F15,N14,N3,F4","N","C"
"54","Colibri delphinae",NA,"Colibri delphinae","COLDEL","COLIDELP","M","M/C","F4,F15","F","C"
"55","Colibri serrirostris",NA,"Colibri serrirostris","COLSER","COLISERR","L","U/M","N4,F7,N14","N","U"
"56","Colibri thalassinus",NA,"Colibri thalassinus","COLTHA","COLITHAL","L","M/C","F11,F15,N14","N","C"
"57","Anthracothorax dominicus",NA,"Anthracothorax dominicus","ANTDOM","ANTHDOMI","L","M/C","F1,F7,F15","F","C"
"58","Anthracothorax mango",NA,"Anthracothorax mango","ANTMAN","ANTHMANG","L","M/C","F1,F15","F","C"
"59","Anthracothorax nigricollis",NA,"Anthracothorax nigricollis","ANTNIG","ANTHNIGR","L","M/C","F15,F8,F1E,N14","N","C"
"60","Anthracothorax prevostii",NA,"Anthracothorax prevostii","ANTPRE","ANTHPREV","L","M/C","F15,F8","F","C"
"61","Anthracothorax viridigula",NA,"Anthracothorax viridigula","ANTVIR","ANTHVIRI","L","M/C","F15,F1E,N14","N","C"
"62","Anthracothorax viridis",NA,"Anthracothorax viridis","ANTVIR","ANTHVIRI","L","M/C","F1,15","F","C"
"63","Avocettula recurvirostris",NA,"Avocettula recurvirostris","AVOREC","AVOCRECU","H","?","F1","F","U"
"64","Eulampis jugularis",NA,"Eulampis jugularis","EULJUG","EULAJUGU","M","M/C","F1,F15","F","C"
"65","Sericotes holosericeus",NA,"Eulampis holosericeus","EULHOL","EULAHOLO","L","U/C","N14,F15","N","C"
"66","Chrysolampis mosquitus",NA,"Chrysolampis mosquitus","CHRMOS","CHRYMOSQ","L","C","F8,F7,N6","N","C"
"67","Orthorhyncus cristatus",NA,"Orthorhyncus cristatus","ORTCRI","ORTHCRIS","L","U/C","N14,F15,F1","N","C"
"68","Klais guimeti",NA,"Klais guimeti","KLAGUI","KLAIGUIM","M","U","F4,F1,F15","F","U"
"69","Abeillia abeillei",NA,"Abeillia abeillei","ABEABE","ABEIABEI","M","U/M","F4,F15","F","U"
"70","Stephanoxis lalandi",NA,"Stephanoxis lalandi","STELAL","STEPLALA","M","M/C","N14,F15,F4","N","C"
"71","Lophornis chalybea",NA,"Lophornis chalybeus","LOPCHA","LOPHCHAL","L","C","F3,F1E,F15","F","C"
"72","Lophornis delattrei","brachylopha","Lophornis delattrei","LOPDEL","LOPHDELA","M","C","F4","F","C"
"73","Lophornis delattrei","delattrei","Lophornis delattrei","LOPDEL","LOPHDELA","M","C","F15,F1,F4E","F","C"
"74","Lophornis gouldii",NA,"Lophornis gouldii","LOPGOU","LOPHGOUL","L","C","F15,F8","F","C"
"75","Lophornis magnifica",NA,"Lophornis magnificus","LOPMAG","LOPHMAGN","L","C","F15,F1","F","C"
"76","Lophornis ornata",NA,"Lophornis ornatus","LOPORN","LOPHORNA","L","C","F15,F8,F1E","F","C"
"77","Lophornis pavonina",NA,"Lophornis pavoninus","LOPPAV","LOPHPAVO","M","C","F15,F4","F","C"
"78","Lophornis stictolopha",NA,"Lophornis stictolophus","LOPSTI","LOPHSTIC","M","C","F15,F1,F7","F","C"
"79","Paphosia adorabilis",NA,"Lophornis adorabilis","PAPADO","PAPHADOR","L","C","F1E,F15,N14","N","C"
"80","Paphosia helenae",NA,"Lophornis helenae","LOPHEL","LOPHHELE","M","C","F4,F1,F15","F","C"
"81","Popelairia conversii",NA,"Discosura conversii","DISCON","DISCCONV","M","C","F4,F1E","F","C"
"82","Popelairia langsdorffi",NA,"Discosura langsdorffi","DISLAN","DISCLANG","M","C","F1,F15","F","C"
"83","Popelairia letitiae",NA,"Discosura letitiae","DISLET","DISCLETI","?","C?","F1?","F","C"
"84","Popelairia popelairii",NA,"Discosura popelairii","DISPOP","DISCPOPE","M","C","F4,F1","F","C"
"85","Discosura longicauda",NA,"Discosura longicaudus","DISLON","DISCLONG","M","C","F1,F15","F","C"
"86","Chlorestes notatus",NA,"Chlorestes notata","CHLNOT","CHLONOTA","L","U/C","F3,F8,F15,F7?","F","C"
"87","Chlorostilbon alice",NA,"Chlorostilbon alice","CHLALI","CHLOALIC","L","U/C","F4E,F15,F1","F",NA
"88","Chlorostilbon assimilis",NA,"Chlorostilbon assimilis","CHLASS","CHLOASSI","L","U/C","F1E,N14,F15","N","C"
"89","Chlorostilbon aureoventris",NA,"Chlorostilbon auriceps","CHLAUR","CHLOAURE","L","U/C","N14,F1E,F4E,F15,N11","N","C"
"90","Chlorostilbon canivetii",NA,"Chlorostilbon canivetii","CHLCAN","CHLOCANI","L","U/C","F1E,F8,F7,N14,F15","N","C"
"91","Chlorostilbon gibsoni",NA,"Chlorostilbon gibsoni","CHLGIB","CHLOGIBS","L","U/C","F7,N1,F15","N","C"
"92","Chlorostilbon maugaeus",NA,"Chlorostilbon maugaeus","CHLMAU","CHLOMAUG","L","U/C","F4,F1,F7,F15,N14","N","C"
"93","Chlorostilbon mellisugus",NA,"Chlorostilbon mellisugus","CHLMEL","CHLOMELL","L","U/M","F4E,F15,F1E,N14,F8","N","U"
"94","Chlorostilbon poortmanni",NA,"Chlorostilbon poortmani","CHLPOO","CHLOPOOR","L","U/C","F4E,F1E,F15,N14?","N","C"
"95","Chlorostilbon ricordii",NA,"Chlorostilbon ricordii","CHLRIC","CHLORICO","L","U/C","F1,F15,N10,F10","N","C"
"96","Chlorostilbon russatus",NA,"Chlorostilbon russatus","CHLRUS","CHLORUSS","M","U/C","F4E,N14","N","C"
"97","Chlorostilbon stenura",NA,"Chlorostilbon stenurus","CHLSTE","CHLOSTEN","L","U/C","F4E,F15,N14","N","C"
"98","Chlorostilbon swainsonii",NA,"Chlorostilbon swainsonii","CHLSWA","CHLOSWAI","L","U/C","F4,F1,F15,N14","N","C"
"99","Cynanthus latirostris",NA,"Cynanthus latirostris","CYNLAT","CYNALATI","L","U/M","F7,F8","F","U"
"100","Cynanthus sordidus",NA,"Cynanthus sordidus","CYNSOR","CYNASORD","L","U/M","N2,F8","N","U"
"101","Cyanophaia bicolor",NA,"Cyanophaia bicolor","CYABIC","CYANBICO","M","U/C","F1,F15","F",NA
"102","Thalurania colombica","colombica","Thalurania colombica","THACOL","THALCOLO","M","U/M","F1,F15,F4,F7","F","U"
"103","Thalurania colombica","hypochlora","Thalurania colombica","THACOL","THALCOLO","M","U/M","F7","F","U"
"104","Thalurania colombica","ridgwayi","Thalurania colombica","THACOL","THALCOLO","M","U/M","F4,F1,F15","F","U"
"105","Thalurania furcata",NA,"Thalurania furcata","THAFUR","THALFURC","M","U/M","F1,F15,F4","F","U"
"106","Thalurania glaucopis",NA,"Thalurania glaucopis","THAGLA","THALGLAU","M","U/M","F1,F4,F15","F","U"
"107","Thalurania watertonii",NA,"Thalurania watertonii","THAWAT","THALWATE","M","U","F1,F15?","F","U"
"108","Panterpe insignis",NA,"Panterpe insignis","PANINS","PANTINSI","M","U/M","F4E,N10,N14","N","U"
"109","Damophila julie",NA,"Damophila julie","DAMJUL","DAMOJULI","M","U/M","F1E,F15,F7","F","U"
"110","Lepidopyga coeruleogularis",NA,"Lepidopyga coeruleogularis","LEPCOE","LEPICOER","L","U","F1E,F15E,N14","N","U"
"111","Lepidopyga goudoti",NA,"Lepidopyga goudoti","LEPGOU","LEPIGOUD","M","U/C","F7,F15,N1","N","C"
"112","Lepidopyga lilliae",NA,"Lepidopyga lilliae","LEPLIL","LEPILILL","M?","U/C","F14","F",NA
"113","Hylocharis chrysura",NA,"Hylocharis chrysura","HYLCHR","HYLOCHRY","M","U/M","F8E,N4","N","U"
"114","Hylocharis cyanus",NA,"Hylocharis cyanus","HYLCYA","HYLOCYAN","L","U/C","F1E,F3,F12,F15,F8","F",NA
"115","Hylocharis eliciae",NA,"Hylocharis eliciae","HYLELI","HYLOELIC","M","U/C","F1,F8,F15","F",NA
"116","Hylocharis grayi",NA,"Amazilia grayi","AMAGRA","AMAZGRAY","M","U/C","F1E,F15,F14?","F","C"
"117","Hylocharis leucotis",NA,"Hylocharis leucotis","HYLLEU","HYLOLEUC","M","U/C","F10,F11","F",NA
"118","Hylocharis sapphirina",NA,"Amazilia sapphirina","AMASAP","AMAZSAPP","M","U/C","F1E,F15","F","C"
"119","Hylocharis xantusii",NA,"Hylocharis xantusii","HYLXAN","HYLOXANT","M","U/M","N1,N2","N","U"
