"","Species","Subspecies","TrueName","ShortName6","ShortName8","Sensitivity","Strata","Habitat","SimpleHab","SimpleStrata"
"170","Chalybura urochrysia",NA,"Chalybura urochrysia","CHAURO","CHALUROC","M","U","F1","F","U"
"171","Aphantochroa cirrhochloris",NA,"Aphantochroa cirrochloris","APHCIR","APHACIRR","M","U/M","F15,F1E,N14","N","U"
"172","Lampornis amethystinus",NA,"Lampornis amethystinus","LAMAME","LAMPAMET","M","U/M","F11,F4","F","U"
"173","Lampornis castaneoventris","calolaema","Lampornis castaneoventris","LAMCAS","LAMPCAST","M","U/M","F4,F15","F","U"
"174","Lampornis castaneoventris","castaneoventris","Lampornis castaneoventris","LAMCAS","LAMPCAST","M","U/M","F4,F15","F","U"
"175","Lampornis castaneoventris","cinereicauda","Lampornis castaneoventris","LAMCAS","LAMPCAST","M","U/M","F4,F15","F","U"
"176","Lampornis clemenciae",NA,"Lampornis clemenciae","LAMCLE","LAMPCLEM","M","U/M","F11,F10,F15?","F","U"
"177","Lampornis hemileucus",NA,"Lampornis hemileucus","LAMHEM","LAMPHEMI","M","U/M","F4","F","U"
"178","Lampornis sybillae",NA,"Lampornis sybillae","LAMSYB","LAMPSYBI","M","U/M","F4,F11?","F","U"
"179","Lampornis viridipallens",NA,"Lampornis viridipallens","LAMVIR","LAMPVIRI","M","U/M","F4,F11","F","U"
"180","Lamprolaima rhami",NA,"Lamprolaima rhami","LAMRHA","LAMPRHAM","M","U/M","F4,F11","F","U"
"181","Adelomyia melanogenys",NA,"Adelomyia melanogenys","ADEMEL","ADELMELA","M","U","F4","F","U"
"182","Anthocephala floriceps",NA,"Anthocephala floriceps","ANTFLO","ANTHFLOR","M","U","F4,F15?","F","U"
"183","Urosticte benjamini","benjamini","Urosticte benjamini","UROBEN","UROSBENJ","M","U","F4","F","U"
"184","Urosticte benjamini","ruficrissa","Urosticte ruficrissa","URORUF","UROSRUFI","M","U","F4","F","U"
"185","Phlogophilus hemileucurus",NA,"Phlogophilus hemileucurus","PHLHEM","PHLOHEMI","M","U","F4","F","U"
"186","Phlogophilus harterti",NA,"Phlogophilus harterti","PHLHAR","PHLOHART","M","U","F4","F","U"
"187","Clytolaema rubricauda",NA,"Clytolaema rubricauda","CLYRUB","CLYTRUBR","M","U/M","F4,F15,F1","F","U"
"188","Polyplancta aurescens",NA,"Heliodoxa aurescens","HELAUR","HELIAURE","M","U/C","F3,F1,F2","F","U"
"189","Heliodoxa branickii",NA,"Heliodoxa branickii","HELBRA","HELIBRAN","H","U","F4,F1","F","U"
"190","Heliodoxa gularis",NA,"Heliodoxa gularis","HELGUL","HELIGULA","H","U","F1,F4?","F","U"
"191","Heliodoxa imperatrix",NA,"Heliodoxa imperatrix","HELIMP","HELIIMPE","H","U/M","F4,F1","F","U"
"192","Heliodoxa jacula",NA,"Heliodoxa jacula","HELJAC","HELIJACU","M","U","F4,F1","F","U"
"193","Heliodoxa leadbeateri",NA,"Heliodoxa leadbeateri","HELLEA","HELILEAD","M","U/M","F4","F","U"
"194","Heliodoxa rubinoides",NA,"Heliodoxa rubinoides","HELRUB","HELIRUBI","H","U/M","F4","F","U"
"195","Heliodoxa schreibersii",NA,"Heliodoxa schreibersii","HELSCH","HELISCHR","H","U","F1,F4","F","U"
"196","Heliodoxa xanthogonys",NA,"Heliodoxa xanthogonys","HELXAN","HELIXANT","H","U/C","F4,N3","N","C"
"197","Eugenes fulgens",NA,"Eugenes fulgens","EUGFUL","EUGEFULG","M","U/M","F11,F10,F4","F","U"
"198","Hylonympha macrocerca",NA,"Hylonympha macrocerca","HYLMAC","HYLOMACR","M","M?","F4","F",NA
"199","Sternoclyta cyanopectus",NA,"Sternoclyta cyanopectus","STECYA","STERCYAN","M","?","F4,F1,F15?","F",NA
"200","Topaza pella",NA,"Topaza pella","TOPPEL","TOPAPELL","M","U/M","F1,F3","F","U"
"201","Topaza pyra",NA,"Topaza pyra","TOPPYR","TOPAPYRA","M","U/M","F1","F","U"
"202","Oreotrochilus adela",NA,"Oreotrochilus adela","OREADE","OREOADEL","M","U","N2","N","U"
"203","Oreotrochilus estella","chimborazo","Oreotrochilus chimborazo","ORECHI","OREOCHIM","M","T/U","N10","N","U"
"204","Oreotrochilus estella","estalla","Oreotrochilus estella","OREEST","OREOESTE","M","T/U","N9,N10","N","U"
"205","Oreotrochilus leucopleurus",NA,"Oreotrochilus leucopleurus","ORELEU","OREOLEUC","M","U","N9,N2","N","U"
"206","Oreotrochilus melanogaster",NA,"Oreotrochilus melanogaster","OREMEL","OREOMELA","M","T/U","N9","N","U"
