B1,B2,B3,S1.UV,S1.violet,S1.blue,S1.green,S1.yellow,S1.red,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,Type,Species,Exp,SpeciesType
676.7363038823,1.6876217054,2.2009338246,0.2201016989,0.2438394008,0.2426965868,0.2676364138,0.2011682382,0.2768063151,2.1668792021,0.1535335071,0.0174840217,68.9124837721,1.1852178482,-0.1424407213,0.7023006663,-0.4051748877,0.0122790401,700,368,319,0.6990223804,300,0.2164791254,0.2263512722,0.2860768979,0.2710927045,-0.0335208746,-0.0236487278,0.0360768979,0.0210927045,0.0273984199,0.0264139098,-0.0335208746,0.7671049532,-0.7221038927,0.0507150577,0.3782348936,0.1340834983,Directionnel,HELSTR,irid,HELSTR_Directionnel
3517.0996038463,8.7708219547,22.3996762969,0.146040777,0.1573140112,0.1878045897,0.4989768471,0.3160475016,0.1752434948,8.5426900375,0.5252047479,0.3292500581,1339.7013188008,19.7775893198,-0.245716174,2.2549299737,-0.3465229437,0.7424358249,548,581,594,1.4567468702,506,0.109956897,0.1541533456,0.5064128059,0.2294769514,-0.140043103,-0.0958466544,0.2564128059,-0.0205230486,0.0461261,0.2224541369,-0.140043103,1.3663425402,-0.5524092394,0.2668811174,0.4764267424,0.5601724118,Directionnel,HELSTR,irid,HELSTR_Directionnel
3678.5961753336,9.173556547,22.4411042821,0.1850259065,0.1977020499,0.210361464,0.4637575633,0.2716174692,0.14884036,7.2527829956,0.5032019122,0.3318425583,1143.46374528,19.3469672735,-0.2141682334,2.1089930797,-0.1701334134,0.699853659,539,581,586,-1.5555176654,505,0.1388522407,0.1768553039,0.4893229213,0.1949695341,-0.1111477593,-0.0731446961,0.2393229213,-0.0550304659,0.0110926553,0.2145436236,-0.1111477593,1.5191388297,-0.4774507434,0.2418798004,0.544050105,0.444591037,Directionnel,HELSTR,irid,HELSTR_Directionnel
56279.5050716583,140.3478929468,520.5777377677,0.1327633569,0.1389312265,0.1671730876,0.6609962917,0.3641821346,0.0471563676,51.4423813155,0.7003669795,11.3268926029,31973.2069049958,510.4581102455,-0.3290906973,3.6370913701,0.6103780481,41.1969433356,548,581,504,-1.4663773117,506,0.0865044108,0.1251828295,0.6450697898,0.1432429699,-0.1634955892,-0.1248171705,0.3950697898,-0.1067570301,0.0110595322,0.3612303712,-0.1634955892,1.540189602,-0.424844289,0.3966616972,0.6065327193,0.6539823567,Directionnel,HELSTR,MAX,HELSTR_Directionnel
3126.2131129948,7.7960426758,16.8726374101,0.2004328344,0.2150538897,0.2307865551,0.4152828787,0.2467595514,0.1616143918,5.5945743246,0.4582410931,0.1925100895,774.1748875685,13.856744434,-0.1714006009,1.777407463,-0.1165481645,0.3421688699,532,569,586,-1.522528633,493,0.1528319134,0.2004785195,0.4429002119,0.2037893553,-0.0971680866,-0.0495214805,0.1929002119,-0.0462106447,0.0020274646,0.1702474654,-0.0971680866,1.558887963,-0.5186010025,0.1960355762,0.5043723279,0.3886723466,Directionnel,HELSTR,MIN,HELSTR_Directionnel
2359.7066586737,5.8845552585,12.1278786145,0.1464597172,0.1788639939,0.2969163446,0.3317872199,0.1903326729,0.2341814717,4.6920075434,0.4010469929,0.1514370568,527.8356631966,9.5430834064,-0.1089437024,1.621717018,-0.4391471417,0.2455880522,514,544,560,-1.5581660515,481,0.1539350884,0.2540856866,0.3683322574,0.2236469675,-0.0960649116,0.0040856866,0.1183322574,-0.0263530325,-0.0186398326,0.0915462373,-0.0960649116,1.771661701,-0.7993310458,0.1340023289,0.3487286012,0.3842596462,Directionnel,HEMLUD,irid,HEMLUD_Directionnel
24385.3742771067,60.8114071748,173.7328287223,0.101306876,0.1351146059,0.2598281027,0.5147657566,0.2797934389,0.1335025216,12.6078174904,0.557544292,2.9823117397,11082.4092388722,159.9530584445,-0.207125633,2.6303133882,-0.0274897732,7.8444144966,539,581,583,-1.4197976115,506,0.1021865934,0.1884376206,0.5416923057,0.1676834804,-0.1478134066,-0.0615623794,0.2916923057,-0.0823165196,-0.0127092634,0.25712648,-0.1478134066,1.6201841937,-0.5212069602,0.2968574662,0.5020814299,0.5912536266,Directionnel,HEMLUD,irid,HEMLUD_Directionnel
23253.8603746291,57.9896767447,166.0892154626,0.1081286043,0.1420368752,0.2688708252,0.4992248363,0.2558044868,0.1333765986,12.1891800275,0.5556942754,2.8358390609,10207.3610667217,152.4632607152,-0.2050818176,2.6291448629,-0.1760815773,7.4558316989,536,569,579,-1.3999612253,494,0.1089125331,0.1965912618,0.5389313239,0.1555648812,-0.1410874669,-0.0534087382,0.2889313239,-0.0944351188,-0.0251234246,0.2565759954,-0.1410874669,1.6684032341,-0.5007435586,0.2938845031,0.5207487767,0.5643498675,Directionnel,HEMLUD,irid,HEMLUD_Directionnel
29008.2071371626,72.3396686712,214.6101030254,0.0899677104,0.1222631201,0.2456628809,0.54228435,0.3061917048,0.131214504,15.6504021502,0.5775189211,3.9731031926,14143.3914171164,200.8973497705,-0.2329030607,2.7771394791,-0.0520418327,11.0338617307,544,581,502,-1.4499050054,506,0.0907987029,0.1763658534,0.5590644787,0.173770965,-0.1592012971,-0.0736341466,0.3090644787,-0.076229035,-0.0015890382,0.2715262246,-0.1592012971,1.5766485056,-0.5302925865,0.3147603353,0.4942804191,0.6368051883,Directionnel,HEMLUD,MAX,HEMLUD_Directionnel
1629.507239887,4.063609077,6.440441722,0.1586535436,0.1872203289,0.2624404392,0.2824335482,0.2036515208,0.3043683536,2.9646736432,0.1776768973,0.0446185944,275.8431475144,4.2680468829,-0.1603558717,1.0503094176,-0.4916221726,0.0468633299,700,300,614,1.0213690261,481,0.163810348,0.2440048758,0.3090712577,0.2831135185,-0.086189652,-0.0059951242,0.0590712577,0.0331135185,0.0239490548,0.0321818866,-0.086189652,0.9310316672,-1.1351854217,0.095067803,0.2757517891,0.344758608,Directionnel,HEMLUD,MIN,HEMLUD_Directionnel
1236.8798817875,3.0844884833,15.1487374733,0.6190269261,0.6464146958,0.1860067093,0.0999178498,0.0569388367,0.0992057462,25.9044107761,0.4433927754,0.2019546197,632.9783825035,14.5639437251,-0.4962246988,4.7216722656,0.2663151586,0.9535635267,300,300,343,1.4355802371,618,0.5628277125,0.2002209152,0.1412833002,0.0956680722,0.3128277125,-0.0497790848,-0.1087166998,-0.1543319278,-0.0640252791,-0.0047101751,0.3128277125,-3.0681575161,1.3683872255,0.3193471463,0.517305704,0.6173277113,Directionnel,LESNUN,irid,LESNUN_Directionnel
79638.9991793965,198.6009954598,796.328742298,0.1535282594,0.1610350103,0.2609721838,0.4864409892,0.15487554,0.1101734218,47.7219708574,0.6558047813,19.4141806545,33123.1069882058,779.6419054388,-0.2456900734,3.9256696757,-0.7550576327,76.2136602737,522,544,488,-1.4292176684,493,0.1192113103,0.207243569,0.560075422,0.1134696987,-0.1307886897,-0.042756431,0.310075422,-0.1365303013,-0.0574245333,0.2826438657,-0.1307886897,1.7712373467,-0.4257347683,0.3166872482,0.579884548,0.5461212051,Directionnel,LESNUN,irid,LESNUN_Directionnel
63520.9319096339,158.4063139891,593.463035485,0.1174110365,0.1248169907,0.2883927778,0.4503581405,0.1571105094,0.1549133419,33.4780568899,0.6299441877,13.7234988037,26236.2584302038,575.7361095336,-0.2422207262,3.6345527841,-0.7214893738,49.8787807852,516,544,483,-1.4727906553,481,0.0982150553,0.2414463596,0.5144405716,0.1458980134,-0.1517849447,-0.0085536404,0.2644405716,-0.1041019866,-0.0585111735,0.2268175003,-0.1517849447,1.8232581123,-0.5749545683,0.2791207719,0.4597306612,0.6071397786,Directionnel,LESNUN,irid,LESNUN_Directionnel
55374.3875170634,138.0907419378,593.1906308736,0.1148552249,0.1233173818,0.1659367374,0.6172685446,0.2476342923,0.1114826924,61.2265105701,0.702623537,14.2808796829,30989.1157280407,583.5021703465,-0.2655343632,4.2254981193,-0.816775454,60.3438302414,535,557,501,1.5398415765,506,0.0882841758,0.114179775,0.6793248221,0.1182112271,-0.1617158242,-0.135820225,0.4293248221,-0.1317887729,0.0024687502,0.3981925616,-0.1617158242,1.564596516,-0.3857683921,0.4297853169,0.6644144428,0.6468632968,Directionnel,LESNUN,MAX,LESNUN_Directionnel
2161.6349663645,5.3906108887,13.9008838302,0.2694400103,0.2844256465,0.1916729828,0.3997203058,0.1872788869,0.1470379308,7.7976672988,0.4612795229,0.2918911255,365.6401803407,12.1181860954,-0.1737255593,2.2480172184,-0.4975175488,0.6561762759,531,556,325,1.5099257828,494,0.2100623215,0.1611038033,0.4753412384,0.1534926368,-0.0399376785,-0.0888961967,0.2253412384,-0.0965073632,-0.0046608686,0.224890375,-0.0399376785,1.5915184294,-0.1757180327,0.2284566099,0.5918113455,0.3860294528,Directionnel,LESNUN,MIN,LESNUN_Directionnel
1419.6062958383,3.5401653263,6.0840990661,0.2246691964,0.2503668908,0.2296156319,0.2327706468,0.1884911798,0.3197676475,2.52995798,0.188628591,0.0399454093,183.5369452618,3.6792768856,-0.119184992,1.0392952155,-0.5209172402,0.0415150727,700,357,631,0.1556155762,699,0.2210636963,0.2268924396,0.2551802105,0.2968636537,-0.0289363037,-0.0231075604,0.0051802105,0.0468636537,0.0428484428,-0.0047360854,-0.0289363037,-0.1100842435,-0.5911549837,0.0519204124,0.4485750233,0.1157452148,Directionnel,METTYR,irid,METTYR_Directionnel
18025.9714930269,44.9525473642,151.2303484213,0.197360599,0.214679853,0.1809318483,0.5357128625,0.2544380763,0.0937570078,11.0578524391,0.5908819012,3.6173682538,6846.7909981907,137.5540627904,-0.2298821958,3.059983713,-0.3212072358,11.0690879403,540,569,505,-1.4798859923,506,0.1569937287,0.1336864816,0.5949956034,0.1143241863,-0.0930062713,-0.1163135184,0.3449956034,-0.1356758137,-0.0118569359,0.3330404134,-0.0930062713,1.6063833896,-0.2721622519,0.3459865176,0.6375243093,0.5427032547,Directionnel,METTYR,irid,METTYR_Directionnel
22604.5385662194,56.3704203646,194.3766756359,0.2186500639,0.2359682781,0.1965919753,0.5123374851,0.2119410377,0.0808008985,13.2340721334,0.5915511017,4.6858524312,7848.3508711484,179.6890818494,-0.2331673381,3.1876484278,-0.3099026614,14.9368501353,536,568,568,-1.406395369,506,0.1759261004,0.1452540809,0.5858005747,0.093019244,-0.0740738996,-0.1047459191,0.3358005747,-0.156980756,-0.0319871743,0.3299812169,-0.0740738996,1.66743075,-0.2198213429,0.3397024072,0.5409937114,0.6279230239,Directionnel,METTYR,irid,METTYR_Directionnel
34953.6739664349,87.166269243,347.6141037439,0.1617441512,0.1781972142,0.1567751367,0.6151002904,0.2893031533,0.0739908006,19.2053806886,0.6656449932,9.0925448067,17277.5013749593,329.5142748793,-0.2631623892,3.7802957238,-0.416620474,34.3725082514,544,569,575,-1.5068504858,518,0.12947679,0.1067639187,0.6636301123,0.100129179,-0.12052321,-0.1432360813,0.4136301123,-0.149870821,-0.0040629317,0.3961095964,-0.12052321,1.5810530569,-0.2953525167,0.4140593725,0.690693775,0.5994832841,Directionnel,METTYR,MAX,METTYR_Directionnel
2927.3842608275,7.3002101268,17.7900098222,0.186995395,0.2087046562,0.2258057793,0.4093360337,0.2174731046,0.1859244465,4.889189686,0.4590300008,0.3274541385,749.2599208999,14.1513680503,-0.1507332658,1.9384877702,-0.4121494414,0.6347658428,536,568,570,1.5225572098,506,0.1711069687,0.1867779093,0.4614075903,0.1807075317,-0.0788930313,-0.0632220907,0.2114075903,-0.0692924683,-0.0037173319,0.1963387123,-0.0788930313,1.5897273249,-0.3820132848,0.2116289652,0.6706199573,0.3155721253,Directionnel,METTYR,MIN,METTYR_Directionnel
6107.7222939153,15.2312276656,30.5059868817,0.2822465706,0.3053762239,0.2253343983,0.2253556781,0.1543906717,0.2731755683,3.2460234408,0.1837711928,0.4292499435,563.5450140386,21.1080304474,-0.093814037,1.3858390742,-0.5226076922,0.5948713444,300,300,673,-0.4310859022,619,0.2569492914,0.2306256726,0.27506546,0.237359576,0.0069492914,-0.0193743274,0.02506546,-0.012640424,0.0041236568,0.0290428807,0.0069492914,1.4297539614,0.2326126255,0.0301460796,0.3889951759,0.0774973096,Directionnel,PETIOL,irid,PETIOL_Directionnel
17284.2719920703,43.1029226735,96.3383698338,0.2491479094,0.2607612658,0.2095231369,0.4402329974,0.2680552047,0.1083871222,7.3799569855,0.4692702327,1.4756230234,3851.9471567363,83.2843140957,-0.1888691277,1.9322196485,0.6700310707,2.8512277996,544,593,325,-1.3449318745,506,0.1970147052,0.179965185,0.447049708,0.1759704018,-0.0529852948,-0.070034815,0.197049708,-0.0740295982,-0.0024462951,0.1902696464,-0.0529852948,1.5836526094,-0.2715724353,0.1975245913,0.6670460068,0.2961183927,Directionnel,PETIOL,irid,PETIOL_Directionnel
23138.6999599402,57.7024936657,128.4611036171,0.2521200553,0.2657062411,0.2339539149,0.4237876043,0.2425709784,0.0973124685,6.8556772962,0.464690589,2.1554287091,5089.5997983538,109.7231878624,-0.1967720145,1.9015328609,0.9047248948,4.0986185197,541,581,318,-1.1740520491,505,0.2008476765,0.2025898277,0.444181728,0.1523807678,-0.0491523235,-0.0474101723,0.194181728,-0.0976192322,-0.0307466443,0.1885828544,-0.0491523235,1.7324147884,-0.2517846879,0.1972936897,0.505263372,0.3904769288,Directionnel,PETIOL,irid,PETIOL_Directionnel
17544.2422536365,43.7512275652,96.1540575497,0.232964589,0.2454139174,0.1991853725,0.4472011473,0.3035393082,0.1281400775,6.7607530383,0.4641490578,1.5081082358,4095.5365774186,81.9316688595,-0.188983899,1.872671315,0.5175046189,2.8241910332,556,594,602,-1.4797221556,518,0.1873199954,0.168409566,0.4326820984,0.2115883402,-0.0626800046,-0.081590434,0.1826820984,-0.0384116598,0.0264414911,0.1716028977,-0.0626800046,1.4179133494,-0.3464419485,0.1845954765,0.5656161741,0.3263617359,Directionnel,PETIOL,MAX,PETIOL_Directionnel
5736.6987235887,14.3059818543,19.3807833872,0.2351765489,0.2586915735,0.2604750256,0.2685978579,0.1785457548,0.242645175,2.2085244238,0.3144284659,0.1906661653,354.1459928756,10.6053389417,-0.0758592211,0.7413219903,-0.2991632453,0.1413450211,518,356,346,1.1496236018,456,0.2120278215,0.2537898617,0.3064980744,0.2276842424,-0.0379721785,0.0037898617,0.0564980744,-0.0223157576,-0.0159863617,0.0465000648,-0.0379721785,1.9019301836,-0.6575848358,0.0621265332,0.409026659,0.1518887139,Directionnel,PETIOL,MIN,PETIOL_Directionnel
1403.8839415657,3.5009574603,8.0474103604,0.1331913431,0.1514947771,0.1872043327,0.2508250351,0.2247720058,0.4355403067,4.7948275015,0.2599188916,0.0049653514,438.7847818203,6.3690579363,-0.3035387772,1.8192331694,-0.7190854693,0.009033132,700,332,612,0.4092159579,618,0.1393869427,0.1915307548,0.275607319,0.3934749835,-0.1106130573,-0.0584692452,0.025607319,0.1434749835,0.1236650792,-0.0119469581,-0.1106130573,-0.096308497,-0.7274365941,0.1663461153,0.3759640122,0.4424522293,Directionnel,RHAMIC,irid,RHAMIC_Directionnel
49615.3438615497,123.7290370612,336.5686468667,0.1114619793,0.1159307364,0.1023269294,0.5499658338,0.3832251276,0.2448116137,30.4693872357,0.5650411872,3.6267456009,24590.8155944292,325.5225223003,-0.236524267,2.6309307017,-0.8638106593,9.5417163489,550,582,615,1.1559003939,506,0.071946294,0.0760362966,0.5375738975,0.3144435118,-0.178053706,-0.1739637034,0.2875738975,0.0644435118,0.1459940071,0.242066688,-0.178053706,1.0280896645,-0.5620916854,0.3340862969,0.4690807965,0.7122148239,Directionnel,RHAMIC,irid,RHAMIC_Directionnel
