idComm,CommunityName,LatDecDeg,LongDecDeg
313,Tumbaco,-0.21,-78.4
314,Ilal�,-0.3,-78.4
316,Cordillera Tois�n,0.33334,-78.616667
317,Mojanda,0.116667,-78.26667
319,Bosque Protector Cerro Golondrinas,0.816667,-78.116667
320,Reserva de Fauna Cuyabeno,-0.31667,-75.75
321,Sacha Lodge,-0.45,-76.383334
323,La Selva Lodge,-2.41667,-76.33334
324,Yuturi Lodge,-0.55,-76.08333
325,Estacion Cientifica Yasuni,-0.6667,-76.38333
326,Reserva Sierra Azul,-0.68333,-77.91667
327,Gareno Lodge,-1.035725877,-77.39862454
328,Cordillera de Guacamayos,-0.68333,-77.8
330,Nangaritza Valley,-4.36667,-78.75
331,Zumba-Chito,-4.866666667,-79.13333333
332,Via Oyacachi-El Chaco,-0.233333333,-77.91666667
333,Para�so de Papagayos. Quinind�,-0.3,-79.45
334,Guayllabamba,0.466666667,-78.41666667
335,Chugchil�n,-0.8,-78.91666667
336,Otongachi,-0.316666667,-78.95
337,Cerro La Culebra,-1.783333333,-80.61666667
338,Achiotes,-4.066666667,-80.28333333
339,Progreso,-4,-80.63333333
340,Miazi. Cordillera del Condor,-4.333333333,-78.58333333
341,Cordillera Ara�itas,-4.25,-80.33333333
342,Arteson,0.77909414,-77.90626974
343,El Voladero,0.678835505,-77.87585802
344,Cordillera Virgen Negra,0.680287294,-77.64585348
345,Loma Guagua,0.497403588,-77.77429041
346,El Triunfo,-1.256944444,-78.3675
347,Machay,-1.385555556,-78.28027778
348,R�o Mulatos,-0.9675,-78.21527778
349,Caripero,-0.666666667,-79.08333333
350,Sinangoe,-0.133333333,-77.45
351,Chandiquia,-0.133333333,-77.38333333
352,Pacaritambo,-1.033333333,-79.48333333
353,Peninsula Santa Elena,-2.25,-80.83333333
354,Chinapintza. Cordillera del C�ndor,-4,-78.56666667
356,Lita-El Placer,0.783333333,-78.6
358,Zapotillo,-4.3,-80.16666667
360,O�a,-3.45,-79.16666667
361,Abras de Mantequilla,-1.466666667,-79.58333333
362,Alto Tambo,0.933333333,-78.53333333
363,Engunga,-2.333333333,-80.55
364,Caon�,-0.083333333,-79.08333333
365,Isla Santay,-2.216666667,-79.85
366,Daucay,-3.45,-79.71666667
367,Territorio Etnico Aw� parte baja,1.066666667,-78.51666667
368,Represa Velasco Ibarra,-2.216666667,-80.96666667
370,Tiquibuzo,-2.016666667,-79.08333333
371,Parque Omaere,-1.466666667,-77.98333333
372,R�o Conambo,-1.583333333,-77.75
373,Reserva Ecologica Cayapas-Mataje,1.3,-78.9
374,Tambo Negro,-4.4,-79.85
375,Catamayo,-3.983333333,-79.35
376,Cerro La Torre,-1.666666667,-80.5
377,Cerro Azul,-2.15,-80.03333333
